id,name,x,y,width,height
1:46307,Clip path group,40,1482,375,812
1:46308,clip0_0_1,40,1482,375,812
1:46396,Clip path group,614,1482,375,812
1:46397,clip1_0_1,614,1482,375,812
1:46505,Clip path group,1079,1482,375,812
1:46506,clip2_0_1,1079,1482,375,812
1:46608,Clip path group,514,318,375,812
1:46609,clip3_0_1,514,318,375,812
1:46611,Group,514,318,375,812
1:46685,Clip path group,40,10404,375,812
1:46686,clip4_0_1,40,10404,375,812
1:46688,Group,40,10404,375,812
1:46804,Clip path group,1055,4998,375,812
1:46805,clip5_0_1,1055,4998,375,812
1:46887,Clip path group,40,7820,375,812
1:46888,clip6_0_1,40,7820,375,812
1:46890,Group,40,7820,375,812
1:46976,Clip path group,40,4998,375,812
1:46977,clip7_0_1,40,4998,375,812
1:47058,Clip path group,40,6451,375,812
1:47059,clip8_0_1,40,6451,375,812
1:47061,Group,40,6451,375,812
1:47152,Clip path group,604,6451,375,812
1:47153,clip9_0_1,604,6451,375,812
1:47155,Group,604,6451,375,812
1:47246,Clip path group,1167,6451,375,812
1:47247,clip10_0_1,1167,6451,375,812
1:47249,Group,1167,6451,375,812
1:47340,Clip path group,1649,6451,375,812
1:47341,clip11_0_1,1649,6451,375,812
1:47343,Group,1649,6451,375,812
1:47716,Clip path group,566,9153,375,812
1:47717,clip12_0_1,566,9153,375,812
1:47719,Group,566,9153,375,812
1:47757,Clip path group,40,9153,375,812
1:47758,clip13_0_1,40,9153,375,812
1:47760,Group,40,9153,375,812
1:47857,Clip path group,5775,8077,375,812
1:47858,clip14_0_1,5775,8077,375,812
1:47996,Clip path group,7451,8077,375,812
1:47997,clip18_0_1,7451,8077,375,812
1:48149,Clip path group,18900,8084,375,812
1:48150,clip19_0_1,18900,8084,375,812
1:48152,Group,18900,8084,375,812
1:48244,Clip path group,18329,8093,375,812
1:48245,clip21_0_1,18329,8093,375,812
1:48247,Group,18329,8093,375,812
1:48948,Clip path group,3722,2590,375,812
1:48949,clip39_0_1,3722,2590,375,812
1:48951,Group,3722,2590,375,812
1:49022,Clip path group,1053,2590,375,812
1:49023,clip41_0_1,1053,2590,375,812
1:49025,Group,1053,2590,375,812
1:49074,Clip path group,1572,2590,375,812
1:49075,clip43_0_1,1572,2590,375,812
1:49077,Group,1572,2590,375,812
1:49137,Clip path group,2162,2590,375,812
1:49138,clip45_0_1,2162,2590,375,812
1:49140,Group,2162,2590,375,812
1:49166,Clip path group,2130,318,375,812
1:49167,clip46_0_1,2130,318,375,812
1:49169,Group,2130,318,375,812
1:49195,Clip path group,2625,318,375,812
1:49196,clip47_0_1,2625,318,375,812
1:49198,Group,2625,318,375,812
1:49215,Clip path group,2653,2590,375,812
1:49216,clip48_0_1,2653,2590,375,812
1:49218,Group,2653,2590,375,812
1:49233,Clip path group,3079,318,375,812
1:49234,clip49_0_1,3079,318,375,812
1:49236,Group,3079,318,375,812
1:49331,Clip path group,40,2590,375,812
1:49332,clip50_0_1,40,2590,375,812
1:49334,Group,40,2590,375,812
1:49422,Clip path group,40,3578,375,812
1:49423,clip52_0_1,40,3578,375,812
1:49425,Group,40,3578,375,812
1:49513,Clip path group,562,2590,375,812
1:49514,clip54_0_1,562,2590,375,812
1:49516,Group,562,2590,375,812
1:49618,Clip path group,5842,787,375,812
1:49619,clip55_0_1,5842,787,375,812
1:49690,Clip path group,6446,787,375,812
1:49691,clip58_0_1,6446,787,375,812
1:49741,Clip path group,10285,773,375,812
1:49742,clip61_0_1,10285,773,375,812
1:49744,Group,10285,773,375,812
1:49835,Clip path group,9781,773,375,812
1:49836,clip63_0_1,9781,773,375,812
1:49838,Group,9781,773,375,812
1:49918,Clip path group,5704,2013,375,812
1:49919,clip65_0_1,5704,2013,375,812
1:50148,Clip path group,10787,2013,375,812
1:50149,clip66_0_1,10787,2013,375,812
1:50151,Group,10787,2013,375,812
1:50243,Clip path group,10255,2013,375,812
1:50244,clip68_0_1,10255,2013,375,812
1:50246,Group,10255,2013,375,812
1:50325,Clip path group,9723,2013,375,812
1:50326,clip70_0_1,9723,2013,375,812
1:50467,Clip path group,9191,2013,375,812
1:50468,clip71_0_1,9191,2013,375,812
1:50470,Group,9191,2013,375,812
1:52124,Clip path group,8032,2013,375,812
1:52125,clip304_0_1,8032,2013,375,812
1:52127,Group,8032,2013,375,812
1:52153,Clip path group,8614,2013,375,812
1:52154,clip305_0_1,8614,2013,375,812
1:52156,Group,8614,2013,375,812
1:52208,Clip path group,5829,3431,375,812
1:52209,clip306_0_1,5829,3431,375,812
1:52258,Clip path group,8409,3432,375,812
1:52259,clip307_0_1,8409,3432,375,812
1:52261,Group,8409,3432,375,812
1:52299,Clip path group,6436,3431,375,812
1:52300,clip308_0_1,6436,3431,375,812
1:52518,Clip path group,12375,3431,375,812
1:52519,clip309_0_1,12375,3431,375,812
1:52639,Clip path group,11830,3432,375,812
1:52640,clip311_0_1,11830,3432,375,812
1:52760,Clip path group,11280,3431,375,812
1:52761,clip313_0_1,11280,3431,375,812
1:52881,Clip path group,10735,3432,375,812
1:52882,clip315_0_1,10735,3432,375,812
1:53002,Clip path group,10191,3432,375,812
1:53003,clip317_0_1,10191,3432,375,812
1:53076,Clip path group,9653,3431,375,812
1:53077,clip319_0_1,9653,3431,375,812
1:53079,Group,9653,3431,375,812
1:53141,Clip path group,9114,3432,375,812
1:53142,clip321_0_1,9114,3432,375,812
1:53144,Group,9114,3432,375,812
1:53203,Clip path group,12920,3432,375,812
1:53204,clip323_0_1,12920,3432,375,812
1:53206,Group,12920,3432,375,812
1:53283,Clip path group,13389,3432,375,812
1:53284,clip325_0_1,13389,3432,375,812
1:53286,Group,13389,3432,375,812
1:53385,Clip path group,5749,4891,375,812
1:53386,clip327_0_1,5749,4891,375,812
1:53488,Clip path group,9489,4892,375,812
1:53489,clip330_0_1,9489,4892,375,812
1:53491,Group,9489,4892,375,812
1:53583,Clip path group,8936,4892,375,812
1:53584,clip332_0_1,8936,4892,375,812
1:53586,Group,8936,4892,375,812
1:53665,Clip path group,8383,4891,375,812
1:53666,clip334_0_1,8383,4891,375,812
1:53668,Group,8383,4891,375,812
1:53717,Clip path group,7845,4891,375,812
1:53718,clip336_0_1,7845,4891,375,812
1:53720,Group,7845,4891,375,812
1:53772,Clip path group,5780,6622,375,812
1:53773,clip337_0_1,5780,6622,375,812
1:53822,Clip path group,6374,6622,375,812
1:53823,clip338_0_1,6374,6622,375,812
1:53858,Clip path group,6954,6622,375,812
1:53859,clip339_0_1,6954,6622,375,812
1:54016,Clip path group,12504,6622,375,812
1:54017,clip344_0_1,12504,6622,375,812
1:54019,Group,12504,6622,375,812
1:54111,Clip path group,11957,6622,375,812
1:54112,clip346_0_1,11957,6622,375,812
1:54114,Group,11957,6622,375,812
