screen_order,id,x,y,width,height
1,1:46611,514,318,375,812
2,1:49169,2130,318,375,812
3,1:49198,2625,318,375,812
4,1:49236,3079,318,375,812
5,1:49838,9781,773,375,812
6,1:49744,10285,773,375,812
7,1:52127,8032,2013,375,812
8,1:52156,8614,2013,375,812
9,1:50470,9191,2013,375,812
10,1:50246,10255,2013,375,812
11,1:50151,10787,2013,375,812
12,1:49334,40,2590,375,812
13,1:49516,562,2590,375,812
14,1:49025,1053,2590,375,812
15,1:49077,1572,2590,375,812
16,1:49140,2162,2590,375,812
17,1:49218,2653,2590,375,812
18,1:48951,3722,2590,375,812
19,1:53079,9653,3431,375,812
20,1:52261,8409,3432,375,812
21,1:53144,9114,3432,375,812
22,1:53206,12920,3432,375,812
23,1:53286,13389,3432,375,812
24,1:49425,40,3578,375,812
25,1:53720,7845,4891,375,812
26,1:53668,8383,4891,375,812
27,1:53586,8936,4892,375,812
28,1:53491,9489,4892,375,812
29,1:47061,40,6451,375,812
30,1:47155,604,6451,375,812
31,1:47249,1167,6451,375,812
32,1:47343,1649,6451,375,812
33,1:54114,11957,6622,375,812
34,1:54019,12504,6622,375,812
35,1:46890,40,7820,375,812
36,1:48152,18900,8084,375,812
37,1:48247,18329,8093,375,812
38,1:47760,40,9153,375,812
39,1:47719,566,9153,375,812
40,1:46688,40,10404,375,812
